,eventid,latitude,longitude,guncertain1,property,nwoundte,crit2,country,claim2,nkillter
0,197000000001,18.456792,-69.951164,0.0,0,,1,58,,
1,197000000002,19.371887,-99.086624,0.0,0,,1,130,,
2,197001000001,15.478598000000002,120.599741,0.0,0,,1,160,,
3,197001000002,37.99749,23.762728,0.0,1,,1,78,,
4,197001000003,33.580412,130.396361,0.0,1,,1,101,,
5,197001010002,37.005105,-89.17626899999999,0.0,1,0.0,1,217,,0.0
6,197001020001,-34.891151,-56.187214000000004,0.0,0,,1,218,,
7,197001020002,37.791927,-122.22590600000001,0.0,1,0.0,1,217,,0.0
8,197001020003,43.076592,-89.412488,0.0,1,0.0,1,217,,0.0
9,197001030001,43.07295,-89.38669399999999,0.0,1,0.0,1,217,,0.0
10,197001050001,43.4685,-89.744299,0.0,0,,1,217,,
11,197001060001,39.758967999999996,-104.876305,0.0,1,0.0,1,217,,0.0
12,197001080001,41.890961,12.490069,0.0,0,0.0,1,98,,0.0
13,197001090001,42.331685,-83.047924,0.0,1,0.0,1,217,,0.0
14,197001090002,18.386932,-66.061127,1.0,1,0.0,1,217,,0.0
15,197001100001,52.50153,13.401851,0.0,0,,1,499,,
16,197001110001,,,0.0,0,,1,65,,
17,197001120001,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
18,197001120002,18.379998,-65.83094799999999,0.0,-9,0.0,1,217,,0.0
19,197001130001,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
20,197001140001,40.116748,-88.23926999999999,0.0,1,0.0,1,217,,0.0
21,197001150001,-34.891151,-56.187214000000004,0.0,1,,1,218,,
22,197001190002,47.610786,-122.33130600000001,1.0,1,0.0,1,217,,0.0
23,197001190003,47.610786,-122.33130600000001,0.0,0,0.0,1,217,,0.0
24,197001190004,40.717892,-74.06746700000001,0.0,1,0.0,1,217,,0.0
25,197001200001,14.622869,-90.52906800000001,0.0,0,,1,83,,
26,197001210001,14.67428,121.05749499999999,0.0,1,,1,160,,
27,197001220001,10.482834,-66.962128,0.0,0,,1,222,,
28,197001220002,42.47031,-96.413949,0.0,1,0.0,1,217,,0.0
29,197001250001,33.60651,-88.650419,0.0,1,0.0,1,217,,0.0
30,197001250002,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
31,197001260001,33.60651,-88.650419,0.0,1,0.0,1,217,,0.0
32,197001260003,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
33,197001270002,41.241996,-82.615241,0.0,1,0.0,1,217,,0.0
34,197001280001,52.50153,13.401851,0.0,1,,1,499,,
35,197001280002,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
36,197001300001,42.479999,-96.413046,0.0,1,0.0,1,217,,0.0
37,197001300002,42.46634,-96.41405,0.0,1,0.0,1,217,,0.0
38,197001300003,25.720851,-80.277857,0.0,1,0.0,1,217,,0.0
39,197001310001,15.675051000000002,120.33161799999999,0.0,0,,1,160,,
40,197001310002,39.758967999999996,-104.876305,0.0,1,0.0,1,217,,0.0
41,197002010001,45.511795,-122.675629,0.0,1,0.0,1,217,,0.0
42,197002010002,37.005105,-89.17626899999999,0.0,1,0.0,1,217,,0.0
43,197002020001,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
44,197002030001,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
45,197002030002,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
46,197002040001,41.084195,-81.514059,0.0,1,0.0,1,217,,0.0
47,197002060001,39.758967999999996,-104.876305,0.0,1,0.0,1,217,,0.0
48,197002060002,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
49,197002060003,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
50,197002060004,18.460791,-66.264884,0.0,-9,0.0,1,217,,0.0
51,197002060005,18.386932,-66.061127,0.0,-9,0.0,1,217,,0.0
52,197002060006,18.441963,-66.02631600000001,0.0,-9,0.0,1,217,,0.0
53,197002060007,42.3505,-71.105399,0.0,1,0.0,1,217,,0.0
54,197002070003,42.838355,-88.743224,0.0,1,0.0,1,217,,0.0
55,197002080001,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
56,197002080002,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
57,197002090003,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
58,197002090004,39.078590000000005,-84.17941400000001,0.0,1,0.0,1,217,,0.0
59,197002100001,48.139126,11.580186,0.0,1,,1,362,,
60,197002110001,42.263414000000004,-83.66528100000001,0.0,1,0.0,1,217,,0.0
61,197002130001,37.874043,-122.280022,0.0,1,,1,217,,
62,197002130002,48.139126,11.580186,0.0,1,,1,362,,
63,197002130003,37.874043,-122.280022,1.0,1,0.0,1,217,,0.0
64,197002150001,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
65,197002150002,44.04483,-123.07260600000001,0.0,1,0.0,1,217,,0.0
66,197002160001,37.755363,-122.443352,0.0,1,,1,217,,
67,197002160002,37.874043,-122.280022,0.0,0,,1,217,,
68,197002160003,37.874043,-122.280022,0.0,0,,1,217,,
69,197002160004,37.755363,-122.443352,0.0,0,0.0,1,217,,0.0
70,197002170001,37.791927,-122.22590600000001,0.0,0,0.0,1,217,,0.0
71,197002170002,39.334825,-77.431653,0.0,1,0.0,1,217,,0.0
72,197002170003,30.493919,-90.132512,0.0,1,0.0,1,217,,0.0
73,197002170004,47.610786,-122.33130600000001,0.0,0,0.0,1,217,,0.0
74,197002180002,41.479561,-81.675461,0.0,1,0.0,1,217,,0.0
75,197002180003,38.10083,-122.254954,1.0,0,0.0,1,217,,0.0
76,197002200001,41.763325,-72.67406899999999,0.0,1,0.0,1,217,,0.0
77,197002200002,40.697132,-73.931351,1.0,1,0.0,1,217,,0.0
78,197002200003,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
79,197002210001,50.11797,8.644191000000001,0.0,1,,1,362,,
80,197002210002,47.36865,8.539182,0.0,1,,1,199,,
81,197002210003,40.697132,-73.931351,1.0,0,0.0,1,217,,0.0
82,197002210004,40.697132,-73.931351,1.0,1,0.0,1,217,,0.0
83,197002210005,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
84,197002210006,39.758967999999996,-104.876305,0.0,-9,0.0,1,217,,0.0
85,197002220001,42.455233,-76.475847,0.0,1,0.0,1,217,,0.0
86,197002220002,43.287052,-89.724361,0.0,0,0.0,1,217,,0.0
87,197002230001,42.47031,-96.413949,0.0,0,0.0,1,217,,0.0
88,197002230002,42.47031,-96.413949,0.0,0,0.0,1,217,,0.0
89,197002230003,42.47031,-96.413949,0.0,0,0.0,1,217,,0.0
90,197002230004,42.47031,-96.413949,0.0,0,0.0,1,217,,0.0
91,197002230005,32.222232,-110.925752,0.0,1,0.0,1,217,,0.0
92,197002240002,39.758967999999996,-104.876305,0.0,1,0.0,1,217,,0.0
93,197002240003,40.101952000000004,-88.227161,0.0,1,0.0,1,217,,0.0
94,197002270001,40.007581,-105.265942,0.0,1,0.0,1,217,,0.0
95,197002280001,31.530243,35.094162,0.0,1,,1,102,,
96,197003000001,14.596051000000001,120.97866599999999,0.0,1,,1,160,,
97,197003010001,41.890961,12.490069,0.0,1,,1,98,,
98,197003010005,40.007581,-105.265942,0.0,1,0.0,1,217,,0.0
99,197003010006,38.864281,-104.778412,0.0,1,0.0,1,217,,0.0
100,197003010007,40.007581,-105.265942,0.0,1,0.0,1,217,,0.0
101,197003010008,40.014986,-105.270546,0.0,1,0.0,1,217,,0.0
102,197003020001,41.479561,-81.675461,0.0,1,0.0,1,217,,0.0
103,197003030001,,,0.0,0,,1,185,,
104,197003030002,39.758967999999996,-104.876305,0.0,1,0.0,1,217,,0.0
105,197003030003,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
106,197003040001,37.791927,-122.22590600000001,0.0,0,0.0,1,217,,0.0
107,197003040002,38.019304,-122.13406200000001,0.0,0,0.0,1,217,,0.0
108,197003040003,39.758967999999996,-104.876305,0.0,1,0.0,1,217,,0.0
109,197003050001,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
110,197003050002,39.758967999999996,-104.876305,0.0,1,0.0,1,217,,0.0
111,197003050003,18.386932,-66.061127,1.0,0,0.0,1,217,0.0,0.0
112,197003060001,14.622869,-90.52906800000001,0.0,0,,1,83,,
113,197003060003,42.331685,-83.047924,1.0,0,0.0,1,217,,0.0
114,197003060004,42.331685,-83.047924,1.0,0,0.0,1,217,,0.0
115,197003090001,37.874043,-122.280022,0.0,1,,1,217,,
116,197003090003,33.83651,-86.254749,0.0,1,0.0,1,217,,0.0
117,197003090004,41.18188,-73.19126899999999,0.0,1,0.0,1,217,,0.0
118,197003090005,35.084319,-106.619781,0.0,0,0.0,1,217,,0.0
119,197003090006,39.538940000000004,-76.348479,1.0,1,0.0,1,217,,2.0
120,197003100001,48.139126,11.580186,0.0,0,,1,362,,
121,197003100002,38.563122,-76.078063,1.0,1,0.0,1,217,,0.0
122,197003100003,37.755363,-122.443352,0.0,0,0.0,1,217,,0.0
123,197003110001,-23.550711,-46.633475,0.0,0,,1,30,,
124,197003110002,40.102408000000004,-88.227159,0.0,1,0.0,1,217,,0.0
125,197003120001,40.697132,-73.931351,0.0,1,,1,217,,
126,197003120002,40.697132,-73.931351,0.0,1,,1,217,,
127,197003120003,41.842602,-87.681229,1.0,1,0.0,1,217,,0.0
128,197003120004,41.842602,-87.681229,1.0,1,0.0,1,217,,0.0
129,197003120005,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
130,197003130001,44.260288,-88.39745500000001,0.0,1,0.0,1,217,,0.0
131,197003130002,44.268598,-88.42844000000001,0.0,1,0.0,1,217,,0.0
132,197003140001,,,0.0,0,,1,65,,
133,197003140002,31.198056,29.919166999999998,0.0,1,,1,60,,
134,197003140003,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
135,197003140004,33.766725,-118.192399,0.0,0,0.0,1,217,,0.0
136,197003150001,18.386932,-66.061127,0.0,1,0.0,1,217,,0.0
137,197003150002,45.783975,-108.505794,0.0,1,0.0,1,217,,0.0
138,197003160001,34.105245000000004,-117.294124,0.0,1,0.0,1,217,,0.0
139,197003170002,34.097865999999996,-118.407379,1.0,1,0.0,1,217,,0.0
140,197003180001,39.226834999999994,-84.45330899999999,0.0,1,0.0,1,217,,0.0
141,197003200001,45.511795,-122.675629,0.0,0,0.0,1,217,,0.0
142,197003200002,42.331685,-83.047924,0.0,0,0.0,1,217,,0.0
143,197003210001,38.908642,-77.015381,0.0,0,0.0,1,217,,0.0
144,197003210002,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
145,197003210003,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
146,197003220001,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
147,197003220002,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
148,197003220003,40.697132,-73.931351,1.0,1,0.0,1,217,,0.0
149,197003230001,28.538234999999997,-81.37738900000001,1.0,1,0.0,1,217,,0.0
150,197003240001,15.153001999999999,120.59194199999999,0.0,0,,1,160,,
151,197003240002,18.456792,-69.951164,0.0,0,,1,58,,
152,197003240003,-27.583246000000003,-56.683333999999995,0.0,0,,1,11,,
153,197003240004,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
154,197003240005,41.479561,-81.675461,0.0,1,0.0,1,217,,0.0
155,197003240006,37.93781,-122.34270900000001,1.0,1,0.0,1,217,,0.0
156,197003270001,37.755363,-122.443352,0.0,1,0.0,1,217,,0.0
157,197003290001,-34.61768,-58.444435,0.0,0,,1,11,,
158,197003290002,33.888523,35.503513,0.0,1,,1,110,,
159,197003300001,40.85122,-90.864369,0.0,1,0.0,1,217,,0.0
160,197003300002,32.3575,-84.95623,0.0,-9,0.0,1,217,,0.0
161,197003310001,14.622869,-90.52906800000001,0.0,0,,1,83,,
162,197003310002,33.580412,130.396361,0.0,0,0.0,1,101,,0.0
163,197003310003,38.908642,-77.015381,0.0,0,0.0,1,217,,0.0
164,197003310004,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
165,197004000001,,,0.0,0,,1,65,,
166,197004010001,42.7375,-84.483779,0.0,1,0.0,1,217,,0.0
167,197004010002,42.455233,-76.475847,0.0,1,0.0,1,217,,0.0
168,197004010003,29.813822,-95.36529499999999,0.0,1,0.0,1,217,,0.0
169,197004020001,15.185916,120.54186999999999,0.0,0,,1,160,,
170,197004020002,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
171,197004030001,53.361675,-6.2454849999999995,0.0,1,,1,96,,
172,197004040001,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
173,197004040002,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
174,197004040003,46.731958,-117.162603,0.0,1,0.0,1,217,,0.0
175,197004050001,-30.034108000000003,-51.217839,0.0,0,,1,30,,
176,197004050003,-34.61768,-58.444435,0.0,1,,1,11,,
177,197004050004,35.76625,-117.370674,0.0,1,0.0,1,217,,0.0
178,197004050005,35.76625,-117.370674,0.0,1,0.0,1,217,,0.0
179,197004050006,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
180,197004050007,29.813822,-95.36529499999999,0.0,1,0.0,1,217,,0.0
181,197004080001,38.973065000000005,-95.23653399999999,0.0,1,0.0,1,217,,0.0
182,197004080002,37.023676,-94.735504,0.0,1,0.0,1,217,,0.0
183,197004080003,34.097865999999996,-118.407379,1.0,1,0.0,1,217,,0.0
184,197004090001,38.624421000000005,-90.150603,0.0,1,0.0,1,217,,0.0
185,197004110001,32.715695000000004,-117.16171899999999,0.0,1,0.0,1,217,,0.0
186,197004110002,42.455233,-76.475847,0.0,1,0.0,1,217,,0.0
187,197004110003,28.949564000000002,-95.344371,0.0,1,0.0,1,217,,0.0
188,197004130001,37.874043,-122.280022,0.0,1,,1,217,,
189,197004130002,39.176086,-94.574127,0.0,1,0.0,1,217,,0.0
190,197004130003,39.176086,-94.574127,0.0,1,0.0,1,217,,0.0
191,197004130004,39.176086,-94.574127,0.0,1,0.0,1,217,,0.0
192,197004140002,35.76625,-117.370674,0.0,1,0.0,1,217,,0.0
193,197004140003,33.783823999999996,-118.11408999999999,0.0,0,0.0,1,217,,0.0
194,197004140004,34.097865999999996,-118.407379,0.0,0,0.0,1,217,,0.0
195,197004150001,31.950001,35.933331,0.0,1,,1,102,,
196,197004150002,34.097865999999996,-118.407379,0.0,1,0.0,1,217,,0.0
197,197004150004,34.097865999999996,-118.407379,1.0,1,0.0,1,217,,0.0
198,197004150005,34.097865999999996,-118.407379,1.0,1,0.0,1,217,,0.0
199,197004160001,39.176086,-94.574127,0.0,1,0.0,1,217,,0.0
200,197004160002,39.176086,-94.574127,0.0,1,0.0,1,217,,0.0
201,197004160003,39.176086,-94.574127,0.0,1,0.0,1,217,,0.0
202,197004160004,35.76625,-117.370674,0.0,1,0.0,1,217,,0.0
203,197004170001,37.791927,-122.22590600000001,1.0,1,0.0,1,217,,0.0
204,197004190001,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
205,197004190002,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
206,197004190003,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
207,197004190004,47.610786,-122.33130600000001,0.0,1,0.0,1,217,,0.0
208,197004190005,40.697132,-73.931351,0.0,0,0.0,1,217,,0.0
209,197004200001,38.954344,-95.25579599999999,0.0,1,0.0,1,217,,0.0
210,197004210001,,,0.0,1,,1,160,,
211,197004210002,34.097865999999996,-118.407379,0.0,1,0.0,1,217,,0.0
212,197004220001,35.76625,-117.370674,0.0,1,0.0,1,217,,0.0
213,197004220002,37.874043,-122.280022,0.0,1,0.0,1,217,,0.0
214,197004220003,37.874043,-122.280022,0.0,0,0.0,1,217,,0.0
215,197004220004,43.064388,-87.966202,0.0,1,0.0,1,217,,0.0
216,197004220005,40.102408000000004,-88.227159,1.0,0,0.0,1,217,,0.0
217,197004220006,34.062684999999995,-117.16318100000001,0.0,1,0.0,1,217,,0.0
218,197004230001,18.379626000000002,-67.18842099999999,0.0,1,0.0,1,217,,0.0
219,197004230002,18.379626000000002,-67.18842099999999,0.0,1,0.0,1,217,,0.0
220,197004230003,18.379626000000002,-67.18842099999999,0.0,0,0.0,1,217,,0.0
221,197004230004,18.379626000000002,-67.18842099999999,0.0,0,0.0,1,217,,0.0
222,197004240001,37.424305,-122.14391299999998,0.0,1,0.0,1,217,,0.0
223,197004240002,39.308341999999996,-76.616104,0.0,0,0.0,1,217,,0.0
224,197004240003,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
225,197004240004,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
226,197004250001,41.106178,28.689863,0.0,1,,1,209,,
227,197004250003,40.008171000000004,-75.13549,0.0,-9,0.0,1,217,,0.0
228,197004250004,42.7375,-84.483779,0.0,1,0.0,1,217,,0.0
229,197004250005,42.7375,-84.483779,0.0,1,0.0,1,217,,0.0
230,197004250006,42.7375,-84.483779,0.0,1,0.0,1,217,,0.0
231,197004260001,30.443334999999998,-91.186994,1.0,1,,1,217,,
232,197004260002,30.443334999999998,-91.186994,1.0,1,0.0,1,217,,0.0
233,197004260003,45.031807,-93.336547,0.0,-9,0.0,1,217,,0.0
234,197004270001,41.657825,-91.526534,1.0,1,0.0,1,217,,0.0
235,197004270002,41.312065000000004,-72.928288,0.0,1,0.0,1,217,,0.0
236,197004270003,42.056459000000004,-87.675267,0.0,1,0.0,1,217,,0.0
237,197004270004,33.882923,-117.92910400000001,0.0,0,0.0,1,217,,0.0
238,197004270005,42.025345,-93.620199,0.0,0,0.0,1,217,,0.0
239,197004270006,38.788097,-90.497479,0.0,1,0.0,1,217,,0.0
240,197004280001,52.50153,13.401851,0.0,1,,1,362,,
241,197004280002,52.50153,13.401851,0.0,1,,1,499,,
242,197004290001,40.697132,-73.931351,1.0,0,0.0,1,217,,0.0
243,197004300001,30.443334999999998,-91.186994,1.0,0,0.0,1,217,,0.0
244,197005000001,42.290156,-71.04897,0.0,1,0.0,1,217,,0.0
245,197005000002,18.386932,-66.061127,0.0,1,0.0,1,217,,0.0
